epoch,train_loss,train_acc,val_loss,val_acc
1,0.568903753,0.767870963,0.436564996,0.813989639
2,0.48737039,0.799806476,0.4787733,0.784974098
3,0.49585136,0.795871079,0.476622481,0.81243521
4,0.494769624,0.797612965,0.58174838,0.798963666
5,0.488997203,0.800645292,0.560244625,0.737305701
6,0.482353847,0.804129064,0.420040801,0.823834181
7,0.472372685,0.812387109,0.441161965,0.821761668
